"SINNO ID","use_sectors","Innovation name in Swedish","Description in Swedish","Additional Info"
7004001,"0123","Hogpax","Psykofarmaka för grisar. Substansen gör grisarna mindre aggresiva och mindre stressade. ","Slagsmål i griskättar."
7016001,"01","Spektrometer","Analyssystem för analys av grundämnen. Analyssystemet används först och främst inom jordbruket. Analysen visar vilka ämnen som fattas i grödan.",""
7019001,"01","Bolikel Fe","Mikrogranulär produkt som transporterar järn genom marken till rottrådarna. Där frigörs järnet och tas upp genom naturens egna mekanismer. Genom användning av mikronäringsämnen får odlaren friskare växtlighet med större skördar, högre kvalitet och ökad motståndskraft mot sjukdomar. ",""
7033001,"01","","Genmanipulerad sockerbeta.  Kommersialiseringen ligger åtminstone fem år fram i tiden.","Genmanipulationsteknik utvecklad vid Plant Genetic System. Tekniken har publicerats och är allmän egendom."
7034001,"13100","","Reagens som genom att fettsyra hydrofobiserar mineralet gör att det lätt kan flotteras, vilket förbättrar utvinningen av mineral som apatit och flusspat ","Ökad effektivitet vid utvinning"
7040001,"013","Totalväxtanalys","Analys för att bestämma vilka näringsämnen växterna behöver och därigenom styra göslingen för att förhindra kväveläckage. Inne i apparatens kopparör placeras ett reaktionsrör. I rörets ena äne placeras det prov som ska renas, aktivt kol och glasull. Den andra änden kopplas via en kylfälla, till en vakuumpump.",""
7056001,"20","Rapsody","Rengöringsmedel baserat på rapsolja, som alternativ till lacknafta som är effektiv på vedhartser och är helt nedbrytbar.",""
7058001,"01","","Flyttbar anläggning för tillverkning av rapsmetylester","Rapsproduktion ersätter dieselolja. Innovationen möjliggör sådan produktion"
7060001,"01233","","Grisfoder som innehåller en protein som tillåter näring att absorberas tidigare i matsmältningsssystemet vilket därigenom förebygger matsmältningsproblem",""
7176001,"01113","FS Packer 101","Förpackningsmaskin för förpackning av potatis som löser problemet med potatisen kommande damm viid försegling av polyetenpåsar.","Kapacitet; "
7217001,"011","","Hönsgödsel i form av briketter. Gödseln tas om hand i ett slutet system med en torkad och kornad slutprodukt, automatiskt paketerad. Det varma kondensvattnet som uppstår vid torkningsprocessen används för att värma upp hönshusen. ",""
7250001,"01114","","Det monogerma sockerfröet. Fröet ger upphov till en betplanta till skillnad mot det naturliga betfröet som är en samling frön och således ger upphov till en samling plantor. Med det nya fröet slipper man den tidsödande gallringen. Fröet har sedemera utvecklats, nu har man uppfunnit en teknik för att pelletera det. Fröet ingjuts då i en massa så att det får enhetlig form och storlek för att underlätta sådden. Man kan okcås innesluta växtnärings- och bekämpningsmedel i massan. ","Utvecklat för användning inom koncernen. Även export. "
7263001,"0123","H-grisen","En ny ras av grisar som avlats fram genom att först korsa raserna Yorkshire och Svensk lantras. Därefter har en tredje, den nordamerikanska rasen Hampshire korsats med den första Yorkshire/Svensk lantras avkomman. Den nya grisen har lägre fetthalt än vanlig svensk gris.",""
7278001,"01131","Beri-Tainer","Hanteringssystem för distributionen av jordgubbar. Systemet består av en enliterskartog, en korg som rymmer 12 enliterskartonger och en rullvagn som rymmer 10 kartonger. Ute på fältet ställs de tomma enliterskartongerna i korgarna som placeras på plockningsvagnen. När kartongerna är fllda med jordgubbar körs plockningsvagnen till uppsamlingsplatsen där korgarna hakas på rullvagnarna.",""
7361001,"02029","ABC-björnaren","Hydraulisk godsspännare att användas i första hand på lastbilar för att hålla timmer- och virkeslass. Ur trafiksäkerhetssynpunkt är den nya godsspännaren en betydelsefeul detalj. Det har hänt en hel del olyckor genom att bindkättingen lossnat eller släppt greppet allt eftersom timmerlasset ""skakats ihop"". Anordningen består av en ackumulator som kontinuerligt matar ett antal hydraulcylindrar, en för varje bindställe. Som energikälla används den på fordonet befintliga hydraulanläggningen för kranaggregatet. Skulle fordonet sakna en sådan monteras en liten pumpenhet komplett med tank på växellådans kraftuttag. ","Spänner kontinuerligt allt eftersom lasten skakas ihop."
7366001,"20","Origa-cylindern","Tryckcylinder med längsgående slits. Tekniken öppnar vägen för enklare konstruktioner och verkligt långa slaglängder. ","Kan ta upp stora tvärkrafter"
7368001,"02","Tvigg","Enmansbetjänad kvistare som tar sig fram i skogen och på vägen utan att göra allt för mycket skada. Maskinen är lätt och behöver inte så mycket svängrum. ","Skadar inte skogen genom att den är så lätt och smal."
7369001,"20","","System för intern transport och hantering av olika produkter. Det nya med innovationen är, förutom att transporterna kan gå horisontellt, vertikalt eller i olika lutande banor, antingen att de är raka, krökta eler vridna, att det inte är transportörern som flyttar sig utan det gods den skall transportera. Förflyttningen sker med en stationär rotation i ett antal axlar med tvärmonterade tänder. Den speciella vinkeln, 90 grader, bibehålles hela tiden och gör att tänderna vid axelroationen bildar ett slags hålrum, i vilket edet transporterade godset befinner sig. ",""
7371001,"02029","Typ 205 A/B","Surrningssystem vilket är avsett att ersätta gamla surrningsmetoder som rep och kätting. Fördelarna med detta system är att det går betydligt snabbare att surra, terylenebandet skadar inte godset, det behöver inte efterspännas. ","Skadar inte godset, behöver inte efterspännas."
7374001,"02","850","Skotare. ",""
7375001,"02","Tretorn Lumber","Specialstövel för skogsarbete.","ArbetsskadorStålhätta"
7376001,"02","SCA-metod","Våg för lastbilar. ",""
7377001,"20","Minivib","Hårdmetallbestyckad cirkelsågklinga. Genom den nya konstruktionsprincipen har man lyckats sänka klingans bullernivå till värden som ligger väsentligt under vanliga klingors. Konstruktionen ger den en vibrationsfriare och tystare gång. ","Går tystare och med mindre vibrationer."
7378001,"02029","KG-spännaren","Spännbandsanordning för fästning av gods på vagn. ","Skonar lasten"
7380001,"02","ABC-huggaren","Skogsmaskin.",""
7381001,"02","","Bränslehugg för traktormontage. Maskinen kommer att bli midjestyrd och försedd med åttahjulsdrift med separata hydraulmotorer för varje hjul. Därefterföljer huggenheten som är en stor trumhugg och direkt efter på samma chassie finns en 30 kubikmeters flisbehållare. ",""
7383001,"02","880","Fällare. Med den nya maskinen har möjligheter skapats att helt mekanisera avverkningsarbetet. Fällaren passar i de flesta fall även in i Logma-systemet. Fällaren är i första hand avsedd för slutavverkningsbestånd. Den avskiljer träden med klippande eller sågande fälldon och lyfter dem sedan stående och lägger i högar. Maskinen är således en fällare-buntläggare. Maskinen består av ett tvåaxligt, ramstyrt chassi med pendelaxel under den motorbärande fordonsdelen. Hjuldimensionen är lika på samtliga hjul. Chassit är i princip uppbyggt på samma sätt som på en lunnare. ",""
7384001,"02","ÖSA-systemet","Maskinprogram för helmekaniserad skogsavverkning. I systemet ingår fällnngsmaskinen ÖSA 670; den har kapacitet på över 150 träd/timmen vid kontinuerlig körning. Kedjesågen som används har en patentskyddad upphängningsanordning som helt eliminerar fällsnittskador. Efter fällningen tar processorn över. Processorn har beteckningen ÖSA 705. Tillsammans med skotaren ÖSA 260 uppnås fördelar såsom lägre bränsleförbrukning, minskad service och underhåll, färre komponenter, minskad reservdelshållning. ","Lägre bränsleförbrukning, minskad service och underhåll, färre komponenter, minskad reservdelshållning."
7386001,"20101","","Emballeringsmaskin för virke. Maskinen sköter emballeringen helt automatiskt. Maskinen är försedd med en motor för avrullning av emballagematerialet, avskärning och funktioner för erforderlig vikning av emballagematerialet. Maskinen ersätter den tidigare manuella täckningen av virke för skydd mot väta. Maskinen är uppbyggd av en rad moduler. ","Automatiserar tidigare manuellt arbete."
7387001,"02","Kiruna Trädplockare","Trädplockare. Kraftig maskin som plockar upp hela trädet med rötter och allt, ruskar vidhäftad jord, hugger bort rötter samt lägger hela trädet i önskat läge på lämplig plats. ","Utvinner mer virke vid avverkningen."
7392001,"02029","THV-timmervågen","Timmervåg. ",""
7393001,"02","RK 66 Snorre","Liten skotare. Snorre väger 6 ton och lastar lika mycket. Den låga vikten och marktrycket minimerar skaderiskerna på underlaget. Marbrott, rot- och humusskador har varit huvudproblem som konstruktionen vill lösa. ",""
7394001,"02","","Konsåddpistol. Överst på ett ca 80 cm långt rör sitter ett plasthandtag och en liten behållare frö. När man trycker ned handtaget faller 5-6 frön mot marken. På röret sitter 100 koner och vid varje ""skott"" faller en kon till marken. Det betyder i klartext att fröna får egna drivhus. Konen skyddar fröna från skadedjur. Konerna har ett litet hål i toppen och genom detta kan plantan växa upp. Efter ca två år kommer konen att spricka av den växande plantan. ",""
7396001,"02","","Motorsåg med automatbroms. Utsätts sågen för kast påverkas bromsmekanismen automatiskt, alltså utan att huggarens arm behöver träffa skyddsbågen.","SäkerhetsproblemÖkad säkerhet"
7397001,"20101","","Ny metod att producera flis av rundvirke, stubbar och rotbenkvist och avfallsvirke. Den nya typen av flismaskin skiljer sig radikalt i konstruktionen från konventionella flismaskiner. Den nya metoden som företaget utarbetat består av en roterande skiva av två kraftiga plåtar som sammanfogats i centrum och i ett antal koniska flisgenomgångar. På skivan finns ett efter vis system placerade lika stort antal skärhållare, med lösa, lätta, slipbara skär, som antalet flisgenomgångar på skivan. Tekniken ger ett jämt och konstant ingrepp i det material som skall upparbetas. Därvid erhåller en kontinuerlig matning av materialet med lägre ljudnivåer som följd. VVidare erhålls bestämd längd, bredd och tjocklek på flisen samt ett minimum av stick- och spånbildning. Flisen behöver inte sållas eller efterbearbetas. ","Högre kvalitet på flisen, bättre lönsamhet, snabbare etc."
7398001,"02","","Markberedningsaggregat. I utvecklingsarbetet har man försökt få fram ett aggregat som kan ge största möjliga säkerhet att erhålla en markberedningsruta av godtagbar storlek trots att det kan finnas hinder i vägen. Samtidigt med avlägsnandet av vegetationen samlar aggregatet ihop mineraljord i rutan så att en gynnsam växtmiljö för plantan kan erhållas. ","Röjer undan hinder effektivt."
7399001,"02","","Planteringsmaskin som skall kunna både markbereda och sätta en planta i markberedningsfläcken.","Flerfunktionalitet. Sparar arbetskraft. "
7400001,"02","","Ny typ av skyddsanordning för motorsågar. Innovationen innebär att kraften i kaströrelsen avsevärt minskas och huggaren därigenom får betydligt lättare att behålla kontroller över sågen vid eventuella kast. Detta är första gången ett utvecklingsarbete mellan svenska motorsågstillverkare etableras. ","Risk för arbetsskadorBättre skydd"
7401001,"20101","","Kantskydd för virkespaket. Skyddet består av två träfiberskivor som sammanbundits genom att armerad polyetenbelagt kraftpapper limmats fast på den ena sidan. Kantskydden förhindrar att stårbland, tråd eller plastband tränger in i emballage och varor. Materialet gger ett fullgott skydd för väta och fukt och rostar ej vilket är viktigt vid skydd av hyvlat virke. ",""
7402001,"20301","","Liftanordning för stora byggelement; här tak. ",""
7406001,"20101","Brädaren","Klyvnadsåg för torrt virke. Sågen har hydraulisk bladspänning, ny bladstyrning, snedställbart fritt upphängt land och enklare måttinställning än råbandsågarna. ","Noggrannare"
7409001,"02","","Stubbuuptagare. Stubben delas först varefter delarna tas upp. Metoden ger bl a följande fördelar; kraftåtgången blir bara en bråkdel av vad som krävs vid upptagning av hela stubbar. Fastvuxna stenar lossnar. Föroreningar ksrapas los från stubben. Humustäcket följer inte med stubben upp. Klena rottrådar slits av. Stubben klyves längs fibrerna, rena snitt ger små förluster. ","Gör mindre åverkan på skogen."
7410001,"02","","Fälldon; också kallat pendelsåg. Sågen är utformad med en sågdel som har formen av en sfärisk kalott. Denna är upphängd i pendelarmar lagrade på en radie som är lika med kalottens radie. Vid sågning pendlas sågen in mot trädet. För att få sågen så liten som möjligt har den byggts upp med en fast centrumdel med formen av en sfärisk kalott. På kalottens periferi har en sågring lagrats. Sågringen har sågtänder på ytterkanten och kuggar för dess drivning på innerkanten. ",""
7411001,"02","","Gallringsskördare. Arbetscykeln börjar med att kranen styrs mot ett gallringsträd, varefter fällhuvudet klipper av trädet och tar in det stående samt lägger det framför sig. Därefter bearbetas trädet samtidigt som nästa träd hämtas in. ","Flerfunktionalitet"
7415001,"02","MB25","Markberedningsaggregat som monteras bak på en större skonare. Armarna är ledade endast i höjdled. I sidled förflyttas vardera armen längs en bom, då rivhjulstallriken utsätts för sidokrafter. Aggregatet är tänkt att vara en grundenhet för vidare påbyggning av utrustning som för ihop mineraljordtill en hög på skogsodlingsstället samt av aggregat för sådd och/eller plantsättning.","Automatiserar arbete."
7416001,"02","Timber","Skyddsstövel för arbete i skogen. Benskyddet utgörs av ett flerskiktigt lager nyloncord som är ett effektivt skydd mot sågskador. Skyddet sträcker sig från stålhättan till ca 20 cm upp på benet. ","Effektivt skydd."
7419001,"02","Donaren","Markberedningsaggregat som monteras bak på en större skonare. Armarna är ledade i sid- och höjdled i infästningspunkten på dragaren. ","Automatiserar arbete."
