sinno_id,firm,collaborator_0,collaborator_1,collaborator_2,collaborator_3,collaborator_4,collaborator_5,collaborator_6,collaborator_7,collaborator_8
7464001,Mecman,,,,,,,,,
7586001,Gustavsbergs fabriker,,,,,,,,,
13722001,Axjo Plastic,IVF,NKT Cables,,,,,,,
12388001,Thingsquare,,,,,,,,,
8871001,Fingerprint Cards,Accimetrix,,,,,,,,
12186001,EasyMining Sweden,Ikem,Gelsenwasser,,,,,,,
16293001,Climate Recovery,,,,,,,,,
12049001,Actiwave,,,,,,,,,
9106001,Design Force,,,,,,,,,
6632001,Mitel Semiconductor,,,,,,,,,
8362001,Opsis,,,,,,,,,
13423001,Strainlabs,,,,,,,,,
13318001,Wittra,,,,,,,,,
11919001,Ortivus,,,,,,,,,
8257001,Nycol,,,,,,,,,
9397001,Markram Development,Akåplast & Elast,,,,,,,,
6769001,Bulten-Kanthal,,,,,,,,,
11143001,Modig Machine Tool,,,,,,,,,
14725001,Asea/ABB,,,,,,,,,
6308001,Regal,,,,,,,,,
10440001,Chematur Engineering,,,,,,,,,
7497001,Husqvarna,EMT,,,,,,,,
6737001,SKF,,,,,,,,,
9178001,Silvent,,,,,,,,,
11838001,Bioresonator,Norrlands universitetssjukhus,,,,,,,,
9696001,Telepo,,,,,,,,,
8572001,Saab-Scania (group),,,,,,,,,
9623001,Sipgear,,,,,,,,,
7537001,Hoby Energi,Stockholms Universitet,IVL (Institutet för Vatten- och Luftvård),Sydkraft,,,,,,
7699001,Lerans Mekaniska Verkstad,,,,,,,,,
10351001,Kockum Industri AB,Banverket,,,,,,,,
6996001,Elektron,,,,,,,,,
9195001,DS Innovation,,,,,,,,,
7562001,Byggmatek,,,,,,,,,
7424001,Ari,,,,,,,,,
10027001,Essve Produkter,,,,,,,,,
7626001,Saab-Scania (group),,,,,,,,,
10642001,CTT-Systems,,,,,,,,,
12526001,Sandvik,,,,,,,,,
13342001,Free Energy Sverige,,,,,,,,,
9421001,Bahco,,,,,,,,,
7691001,FFV,Svenska utvecklingsaktiebolaget,,,,,,,,
10205001,Asea/ABB,,,,,,,,,
8984001,Jofa,,,,,,,,,
8669001,Cold Cut System,Räddningsverket,KTH,,,,,,,
7675001,Konfektionsdata,Saab-Scania (group),,,,,,,,
9324001,Enduro International,KTH,,,,,,,,
10626001,MINERGI AB Energikonsulter,Sefovent,,,,,,,,
8168001,Norrbottens Järnverk,,,,,,,,,
10294001,Säffle Karosseri,,,,,,,,,
16172001,Olsbergs Electronics,,,,,,,,,
13827001,Chemirol,,,,,,,,,
12065001,Rototest,Asea/ABB,,,,,,,,
11095001,Syncron International,,,,,,,,,
12113001,Atlas Antibodies,,,,,,,,,
6486001,Ericsson,,,,,,,,,
11644001,Squace,,,,,,,,,
10197001,Asea/ABB,,,,,,,,,
10553001,Sol-Lab Linköping,Östgöta-Byggen,Gränges,,,,,,,
9809001,Blomatic Transportsystem,Bilmekano i Arlöv,Örestads Svetsmekano,Karosseri AB Groth & Co,Kockums,,,,,
7513001,Tekno Tronic,,,,,,,,,
6607001,Ericsson,Telia,,,,,,,,
8467001,Asea/ABB,,,,,,,,,
9429001,Masonite,,,,,,,,,
16196001,Hexagon Manufacturing Intelligence,,,,,,,,,
12032001,Concellae,,,,,,,,,
10213001,Asea/ABB,,,,,,,,,
9874001,Svensk Hamndata,,,,,,,,,
6842001,Sandvik,,,,,,,,,
7489001,Edsbyn-Kilafors,Trätek,Statens Utvecklingsfond,,,,,,,
6947001,Mo och Domsjö,,,,,,,,,
12024001,Astra,Göteborgs Universitet,,,,,,,,
7529001,Dynalyse,,,,,,,,,
11790001,Transient Interactions,Astra,Högskolan i Kalmar,,,,,,,
8459001,Medical Bio Care,,,,,,,,,
7561001,Torsby Lamell,,,,,,,,,
10585001,Munters,,,,,,,,,
6616001,Netcore,Ericsson,Saab-Scania (group),Lunds Universitet,Linköpings universitet,,,,,
6818001,Green Cargo,,,,,,,,,
7238001,Alfa Laval,,,,,,,,,
14733001,Brinja,,,,,,,,,
8233001,Exploweld,,,,,,,,,
6397001,Nordisk Elektronik,Axel Johnson Institutet för Industriforskning,,,,,,,,
6033001,Transventor Trading,,,,,,,,,
13366001,Epidemic Sound,,,,,,,,,
11992001,Delfoi,,,,,,,,,
13746001,Rexcell Airlaid & Tissue AB,,,,,,,,,
6025001,Asea/ABB,,,,,,,,,
6640001,Micro Joining,,,,,,,,,
10432001,Lucoil,,,,,,,,,
7707001,Uddeholms,SINTEF,,,,,,,,
7642001,Billingfors Bruk ,,,,,,,,,
14636001,Södra,,,,,,,,,
12986001,Techtum Instrument,,,,,,,,,
6527001,Standard Radio & Telefon,,,,,,,,,
11240001,Opido Plast,,,,,,,,,
7012001,Nobel,,,,,,,,,
8265001,BAT Envitech,,,,,,,,,
10044001,Svenska Fläktfabriken,,,,,,,,,
6939001,Deber-Kontroll,,,,,,,,,
11628001,Promotex,,,,,,,,,
6931001,Technicon,,,,,,,,,
