sinno_id,bioeconomy_vision
10019001,2
10025001,9
10030001,9
10042001,3
10050001,9
10052001,9
10086001,9
10107001,9
10123001,9
10124001,9
10128001,9
10137001,9
10145001,2
10148001,9
10153001,9
10161001,9
10187001,9
10189001,3
10190001,9
10214001,9
10223001,9
10224001,9
10230001,9
10232001,9
10280001,9
10294001,9
10307001,2
10349001,2
10349001,3
10360001,9
10374001,9
10390001,9
10391001,9
10396001,9
10397001,9
10408001,9
10420001,9
10453001,9
10466001,9
10506001,9
10513001,1
10513001,3
10524001,1
10524001,3
10526001,1
10526001,3
10544001,9
10550001,9
10564001,2
10574001,9
10579001,9
10598001,9
10613001,9
10621001,2
10629001,1
10629001,3
10630001,2
10642001,9
10643001,1
10655001,2
10655001,3
10655001,0
10660001,9
10667001,9
10669001,9
10680001,9
10681001,9
10682001,9
10695001,9
10698001,9
10701001,9
10703001,9
10828001,2
10828001,3
10855001,2
10857001,2
10867001,2
10872001,9
10874001,2
10874001,3
10878001,2
10881001,2
10897001,2
10909001,2
10922001,2
10924001,2
10925001,2
10927001,2
10937001,2
10950001,9
10961001,2
10974001,1
10974001,2
10979001,2
11008001,2
11012001,2
11014001,2
11026001,2
11028001,2
11037001,1
11082001,9
11098001,9
11106001,1
11107001,2
11142001,1
11142001,2
11307001,9
11335001,2
11339001,2
11339001,3
11340001,2
11340001,3
11341001,2
11347001,2
11351001,2
11352001,2
11367001,2
11368001,2
11368001,3
11382001,9
11386001,2
11449001,2
11468001,9
11475001,9
11527001,1
11527001,2
11543001,9
11546001,2
11546001,3
11559001,9
11568001,9
11581001,9
11595001,2
11595001,3
11617001,9
11632001,9
11634001,2
11646001,2
11646001,3
11655001,9
11676001,1
11676001,2
11699001,1
11722001,1
11722001,2
11730001,9
11745001,2
11748001,2
11749001,2
11750001,2
11907001,1
11907001,2
11937001,9
11952001,2
11997001,1
12016001,2
12020001,2
12026001,2
12048001,9
12070001,9
12079001,9
12134001,9
12151001,9
12221001,9
12228001,9
12235001,2
12254001,2
12322001,2
12335001,2
12363001,2
12367001,9
12393001,9
12416001,9
12419001,2
12424001,2
12424001,3
12425001,2
12430001,2
12454001,9
12463001,9
12466001,9
12476001,1
12476001,2
12518001,9
12565001,9
12691001,2
12769001,2
12776001,2
12777001,2
12784001,9
12801001,9
12813001,9
12927001,2
12933001,2
12946001,2
12946001,3
12966001,2
13014001,9
13015001,0
13016001,9
13016001,0
13017001,9
13032001,2
13032001,3
13041001,9
13069001,9
13089001,9
13091001,9
13121001,2
13121001,3
13122001,2
13122001,3
13202001,9
13223001,9
13291001,2
13303001,2
13303001,3
13311001,2
13313001,9
13347001,2
13355001,9
13357001,9
13367001,9
13373001,2
13373001,3
13398001,1
13410001,9
13415001,9
13518001,9
13528001,9
13545001,1
13557001,9
13633001,9
13705001,9
13706001,9
13731001,2
13746001,2
13748001,2
13780001,2
13783001,9
13791001,2
13795001,9
13834001,9
13836001,2
13844001,9
13853001,9
13859001,2
13885001,9
13890001,2
13925001,9
13942001,1
13981001,9
13997001,9
14003001,2
14003001,1
14576001,9
14577001,9
14589001,9
14612001,9
14617001,9
14636001,2
14677001,2
14751001,2
16069001,2
16069001,3
16155001,9
16197001,2
16230001,2
16239001,2
16239001,3
16243001,9
16266001,9
16276001,2
16280001,2
16287001,2
16373001,1
5880001,9
5881001,2
5883001,2
5894001,9
5897001,9
5910001,9
5920001,9
5928001,9
5932001,9
5934001,2
5941001,9
5955001,3
5968001,9
5972001,9
5987001,3
5994001,9
6000001,9
6001001,2
6002001,9
6029001,9
6033001,9
6039001,9
6041001,9
6044001,9
6051001,9
6060001,2
6068001,9
