sinno_id,Innovation name in Swedish,Description in Swedish,Additional Info
6341001,SawInfo,System för lagerhantering av virkespaket. Med hjälp av systemet kan sågverk hålla ordning på sina strölagda virkespaket vilket är ett problem för alla sågverk. ,
6740001,Frosty,"Universalterrängfordon på band. Maskinen har två breda larvband med individuell hydrostatisk drift, som gör hastighetsregleringen helt steglös framåt och bakåt. ",
6814001,Megascale,Lasermätningssystem för bearbetning av bl.a. propelleraxlar. Mätenheten förflyttas längs stålprofiler som monteras i tak eller väggar. ,
6942001,"Bolidensalt, Boliden K33",Vattenlösligt impregneringsmedel för trä.,Träet blir mer beständigt.
6000001,Ensocoat/Ansogloss/Tambrite,Ny typ av kartongpapper i tre varianter avsedd för förpackingsindustrin. Kartongpapperet skapar nya möjligheter för digitaltryck för kartong genom att den är specialanpassad för digitaltryck i Xerox Igen3.,
6039001,WEN,"Pneumatisk graverpenna. Drivenheten har inga andra rörliga delar än en tallrik på vilken stiftet är direkt fästat, en O-ring och en återföringsfjäder. Lämpar sig väl för gravyr på verktygsstål. ",
6562001,Diodair,"Gasmätare för mätning av gaser med hjälp av laserdioder. Den främsta fördelen med att mäta gaser med laserdioder är den korta reaktionstiden. De metoder som hittills har använts inom processindustrin ger mycket långsammare svar. Laserdiodtekniken kan användas för att styra processen direkt vilket ofta var svårt eller omöjligt tidigare, med de metoder som kan användas i industrimiljö. ",Ny kombination av tekniker. 
6856001,,"Värmningssystem för industrin. Den svenska uppfinningen baserar sig på värmning med infraröd strålning från glödlampor. Systemet kan ge materialtemperaturer från ca 25 C till 700 C och under vissa betingelser upp till 1300 C. Värmen kan regleras steglöst, och då värmen kommer från glödlampor får man önskad effekt omedelbart då lamporna tänds. Systemet grundar sig på en värmeavgivande modulenhet -så utformad och kombinerbar att man med denna kan bygga högeffektiva ugnar av vilket utseende och vilken storlek som helst. Med denna infravärmare kan man smälta, svetsa, härda, forma, krympa och torka plast. När det gäller järn och metaller kan man värmebehandla, varmhålla, härda, glödga, löda och deluppvärma. ","Ger snabbt önskad effekt, steglös inställning."
7034001,,"Reagens som genom att fettsyra hydrofobiserar mineralet gör att det lätt kan flotteras, vilket förbättrar utvinningen av mineral som apatit och flusspat ",Ökad effektivitet vid utvinning
7040001,Totalväxtanalys,"Analys för att bestämma vilka näringsämnen växterna behöver och därigenom styra göslingen för att förhindra kväveläckage. Inne i apparatens kopparör placeras ett reaktionsrör. I rörets ena äne placeras det prov som ska renas, aktivt kol och glasull. Den andra änden kopplas via en kylfälla, till en vakuumpump.",
7042001,,Metod för att skydda trä mot vatten genom att man plasmabehandlar ytan med hexametyldisiloxan,
7067001,,"Genmodifierad potatis för produktion av bindemedel och ytstarkare papper i pappersindustrin, samt för lätthanterligare glasfiberväv och stabilisering vid oljeborrning och till varpliming.",Teknik kallad antisensteknik som används för att överföra den önskade genen till potatisen. Genen sätts samman i en så kallad genkonstruktion och förs in i potatisen medhjälp av en särskild jordbakterie.Potatisen gör det billigare för pappersindustrin att utvinna stärkelsen
7139001,Apyrum,"Flamskyddsmedel som är baserat på citrat och acetat (salter) och är därmed miljövänligt. Medlet kan användas i flertalet material såsom PUR, PVC (sedan 2008), latex, gummi, trä, etc. ",
7176001,FS Packer 101,Förpackningsmaskin för förpackning av potatis som löser problemet med potatisen kommande damm viid försegling av polyetenpåsar.,Kapacitet; 
7217001,,"Hönsgödsel i form av briketter. Gödseln tas om hand i ett slutet system med en torkad och kornad slutprodukt, automatiskt paketerad. Det varma kondensvattnet som uppstår vid torkningsprocessen används för att värma upp hönshusen. ",
7318001,VC 200,Tryckluftsdriven vakuumtransportör,
7361001,ABC-björnaren,"Hydraulisk godsspännare att användas i första hand på lastbilar för att hålla timmer- och virkeslass. Ur trafiksäkerhetssynpunkt är den nya godsspännaren en betydelsefeul detalj. Det har hänt en hel del olyckor genom att bindkättingen lossnat eller släppt greppet allt eftersom timmerlasset ""skakats ihop"". Anordningen består av en ackumulator som kontinuerligt matar ett antal hydraulcylindrar, en för varje bindställe. Som energikälla används den på fordonet befintliga hydraulanläggningen för kranaggregatet. Skulle fordonet sakna en sådan monteras en liten pumpenhet komplett med tank på växellådans kraftuttag. ",Spänner kontinuerligt allt eftersom lasten skakas ihop.
7366001,Origa-cylindern,Tryckcylinder med längsgående slits. Tekniken öppnar vägen för enklare konstruktioner och verkligt långa slaglängder. ,Kan ta upp stora tvärkrafter
7368001,Tvigg,Enmansbetjänad kvistare som tar sig fram i skogen och på vägen utan att göra allt för mycket skada. Maskinen är lätt och behöver inte så mycket svängrum. ,Skadar inte skogen genom att den är så lätt och smal.
7369001,,"System för intern transport och hantering av olika produkter. Det nya med innovationen är, förutom att transporterna kan gå horisontellt, vertikalt eller i olika lutande banor, antingen att de är raka, krökta eler vridna, att det inte är transportörern som flyttar sig utan det gods den skall transportera. Förflyttningen sker med en stationär rotation i ett antal axlar med tvärmonterade tänder. Den speciella vinkeln, 90 grader, bibehålles hela tiden och gör att tänderna vid axelroationen bildar ett slags hålrum, i vilket edet transporterade godset befinner sig. ",
7371001,Typ 205 A/B,"Surrningssystem vilket är avsett att ersätta gamla surrningsmetoder som rep och kätting. Fördelarna med detta system är att det går betydligt snabbare att surra, terylenebandet skadar inte godset, det behöver inte efterspännas. ","Skadar inte godset, behöver inte efterspännas."
7374001,850,Skotare. ,
7375001,Tretorn Lumber,Specialstövel för skogsarbete.,ArbetsskadorStålhätta
7376001,SCA-metod,Våg för lastbilar. ,
7377001,Minivib,Hårdmetallbestyckad cirkelsågklinga. Genom den nya konstruktionsprincipen har man lyckats sänka klingans bullernivå till värden som ligger väsentligt under vanliga klingors. Konstruktionen ger den en vibrationsfriare och tystare gång. ,Går tystare och med mindre vibrationer.
7378001,KG-spännaren,Spännbandsanordning för fästning av gods på vagn. ,Skonar lasten
7380001,ABC-huggaren,Skogsmaskin.,
7381001,,Bränslehugg för traktormontage. Maskinen kommer att bli midjestyrd och försedd med åttahjulsdrift med separata hydraulmotorer för varje hjul. Därefterföljer huggenheten som är en stor trumhugg och direkt efter på samma chassie finns en 30 kubikmeters flisbehållare. ,
7392001,THV-timmervågen,Timmervåg. ,
7398001,,Markberedningsaggregat. I utvecklingsarbetet har man försökt få fram ett aggregat som kan ge största möjliga säkerhet att erhålla en markberedningsruta av godtagbar storlek trots att det kan finnas hinder i vägen. Samtidigt med avlägsnandet av vegetationen samlar aggregatet ihop mineraljord i rutan så att en gynnsam växtmiljö för plantan kan erhållas. ,Röjer undan hinder effektivt.
