SINNO ID,use_sectors,Innovation name in Swedish,Description in Swedish,Additional Info,innovation_type,bioeconomy_vision,notes,in_other_file
6029001,1,,"Hydrauldrivna bevattningsaggregat. Aggregaten består i princip av en kraftkälla, t.ex. en dieselmotor som driver en hydraulpump. Denna driver en dränkbar vattenpump i botten på brunnen. Här kommer hydraulikens fördelar in på ett övertygande sätt. Stora energimängder kan överföras på mycket kompakta enheter. Ett antar prototyper av dessa pumpar har provats i flera länder och proven är mycket lovande. ",,9,9,,
6044001,201,Loadmaster G70,Lastfördelningsinstrument; stabilitetsräknare baserad på en mirkodator. Stora ansträngningar har gjorts för att få det nya instrumentet lätthanterligt och snabbt. Kommer också att marknadsföras till betydligt lägre pris än andra liknande system.,,0,9,,
6163001,17403,,"Datorstyrd laserskärmaskin för segel. Med hög skärprecision och med en hastighet av en meter per sekund skär laserna ut de våder och andra detaljer som ingår i ett segel. Huvudkomponenterna u utrsutningen är skärbordet med laser- och laserkanon monterade på vagn, samt styrdatorn och en terminal ansluten on-line till en huvuddator.",Snabbhet; skärprecision; automatisering,601,9,,
6182001,20101,OPTION Q,"Bildbehandlingsteknologi med kompletterande mjukvara för kvalitetsbestämning inom sågverksindustrin. Kvalitetsbestämning görs genom en optisk avbildning i gråskala av virkesbiten. Bildbehandlingselektroniken arbetar parallellt med en preprocessor som bestämmer brädans tjocklek, geometriska form och biologiska kvalitet. För varje mätcykel eller 4 mm:s förflyttning av brädan i tvärled, levereras från kamerorna sammanlagt cirka 1800 bildelement motsvarande en ca 6 meter lång och 4 mm bred ""remsa"" av brädan.",Snabb bildbehandling; Hög kvalitet och noggrannhet.,"602, 103",0,,
6191001,20,,"Plockautomat för torkvagnar (inom träindustrin) som hämtar godset från transportbanan och påbörjar inplockningen i torkvagnens översta fack, varefter dess armar återgår den kortaste vägen. ",Litenhet (kan användas i mindre trävaruföretag); snabbhet; automatisering,601,"2, 0",,
6194001,20101,Dendro 4000,"Datoriserad kantautomat för sågverk, som har hög kapacitet. En elevator och en tävtransportör med en inbyggd vändare åstadkommer att den inkommande brädan trots maskines höga kapacitet passerar med måttlig hastighet på tvären under mätrampen. Detta ger ett jämnt flöde och noggrann mätning och optimering.",Högre kapacitet; hög hastighet (trots kapaciteten); jämnt flöde; noggrann mätning,"602, 601",2,,
6203001,20,,Dimensionsmätsystem där kombinationen av beröringsfria mtgivare och en kraftfull mätdator gör att man kan lösa en mängd dimensionsmätuppgifter i storserieproduktion på ett tillförlitligt sätt. Mätgivarna är robust upbyggda och arbetar från några millimeters mätområde till 200 mm. Givarna är anslutna till en mätdator som även ger strömmatning i de fall givarna inte har eget späningsaggregat. Mätdatorn är utformad för att tåla dålig industrimiljö och placeras i närheten av givarna. Mätdatorn utgörs av en speciellt framtagen hårdvara som är baserad på en kraftfull mikroprocessor. I systemet finns ett realtids operativsystem som gör att samtidig behandling av alla givarsignaler kan ske liksom bearbetning och presentation av mätresusltaten.,Automatisering; kontrollerar rätt dimensioner; ger besparingar för användaren.,601,0,,
6238001,17,RotaStep,"Kopplingsbromssystem med patenterad skivkonstruktion. Systemet är konstruerat som en modulenhet och kan förses med ihåliga och/eller massiva axlar på in- eler utgångssidan. Den patenterade kopplingsskivan roterar med konstant varvtal. På utgångsaeln sitter dels den tjocka friktionsskivan, dels den tunna transmissionsskivan. De båda skivorna är sammansvetsade längs periferin. För styrningen har Danfoss utvecklat en ny elektronisk sytrenhet SRB 3101 som ger start- och stoppsignaler.",Hög tillförlitlighet; livslängd.,106,9,,
6281001,2,Compact,Hydraulisk radialkolvmotor med mindre storlek relativt slagvolymen. Motorn har en patenterad radiell kolvkonstruktion.,,9,9,,
6314001,13,,"Förarlösa hjullastare med ett trafikstyrningssystem baserat på det kunskapsbaserade verktyget G2 (från amerikanska Gensyn) samt ett lasersytem (från Q-navigator) och ett trådlöst digitalt bredbandsnät för förbindelserna i gruvan. Finska Elektrobit har utvecklat ett trådlöst digitalt bredbandsnät som används för förbindelserna i gruvan,.",Automatisering,601,9,,
6325001,20,Screen Master 2000,"Papperslös skrivare för processindustrin, som tack vare en helt ny tätningsteknik klarar av ansträngande miljöer. ",Ny tätningsteknikMiljötålighet,106,9,,
6341001,20,SawInfo,System för lagerhantering av virkespaket. Med hjälp av systemet kan sågverk hålla ordning på sina strölagda virkespaket vilket är ett problem för alla sågverk. ,,"0, 204",0,Could reduce waste if otherwise problem -- check article,
6348001,1,,"Kablagefri och helt moduluppbyggd fordonsdator. MPC-3000 är utrustad med nya funktioner och expansionmöjligheter, till exempel en klimatkontroll som reglerar temperaturen vid uppstarten. ",,9,9,,
6425001,2029,,"Elektronikförsedd klave kopplad till en datasamlare (mätutrustning) avsedd för skogsbruket. Klavens består av en mekanisk del, linjal och skänklar, och en elektronisk del. De elektroniska delarna på klaven är helt ingjutna i plast för attt kunna tåla de hårda miljökrav som ställs i skogen.",Noggrann information; innebär arbetsbesparing (och medför därmed rationaliseringsvinster).,"602, 106, 0",2,Unsure if longer life cycle,
6685001,13,,"11/2'' skarvborr för borrning av hål inom diameterområdet 64-120 mm. Av speciellt intresse är att skarvgängerna utformats med tandemgängor, dvs med två gänglängder i vardera ändan. När den yttre gängdelen slitits ut kapas den av, och stången kan åter användas till dess även gängdel nummer två blivit utsliten. Tandem-gängan bidrar effektivt till lägre kostnader per borrmeter. Den nya gängan ersätter de tre som tidigare fanns på marknaden (repgängan och C17 som utvecklats i samarbete mellan Sandviken och Atlas Copco och den amerikanska sågtandgängan). ",Billigare per borrmeter. Universell gänga.,9,9,,
