SINNO ID,use_sectors,Innovation name in Swedish,Description in Swedish,Additional Info,innovation_type,bioeconomy_vision,notes
6000001,20400,Ensocoat/Ansogloss/Tambrite,Ny typ av kartongpapper i tre varianter avsedd för förpackingsindustrin. Kartongpapperet skapar nya möjligheter för digitaltryck för kartong genom att den är specialanpassad för digitaltryck i Xerox Igen3.,,0,0,check article
6039001,20,WEN,"Pneumatisk graverpenna. Drivenheten har inga andra rörliga delar än en tallrik på vilken stiftet är direkt fästat, en O-ring och en återföringsfjäder. Lämpar sig väl för gravyr på verktygsstål. ",,"9,0","9,0",check article
6068001,17,TEX VPS,Världens första maskin för vakuumförpackning av kläder. En täckjacka förlorar t.ex. 70 % av sin volym. ,,0,9,not forest
6100001,13,,"Skrotdetektor baserad på induktion av virvelströmmar i skrotbitarna som därvid avger ett elektromagnetiskt fält som instrumentet känner av. Man detekterar därför på ett sekundärt fält som skrotbitarna själva avger och inte som är vanligast på störningar i det primära fältet orsakat av skrotbitar. Härigenom är detektorn ikänslig för transporterat material, såsom magentisk järnmalm m. m. och känslighetsinställningen behöver aldrig ändras, om transporterat material varierar. Den detekterar alla typer av skrot som är elektriskt ledande, t.ex. manganstål, stångskrot typ armeringsjärn, aluminiumskrot m.m. Detektorn är ett nödvändigt skydd för processmaskiner, där risk för skrot föreligger. ",,9,9,not forest
6369001,13,,"System för automatisk styrning av förarlösa fordon. De stora vinsterna med förarlösa fordon ligger inte bara i automatiken, utan också i ökad livslängd och större driftsäkerhet på fordonen. I vissa fall kan fordonen användas i transporter där omfattande säkerhetsåtgärder krävs för att skydda föraren. Saab-Scanias system är uppbyggt kring en fast sändare som matar en styrslinga med en högfrekvent växelström. Det magnetfält som då alstras uppfångas av två antenner monterade på olika avstånd från fordonets centrumlinje. Minskar avståndet till den ena antennen medför detta en starkare signal. ",,"601,501",9,not forest
6562001,20,Diodair,"Gasmätare för mätning av gaser med hjälp av laserdioder. Den främsta fördelen med att mäta gaser med laserdioder är den korta reaktionstiden. De metoder som hittills har använts inom processindustrin ger mycket långsammare svar. Laserdiodtekniken kan användas för att styra processen direkt vilket ofta var svårt eller omöjligt tidigare, med de metoder som kan användas i industrimiljö. ",Ny kombination av tekniker. ,9,9,check article
6700001,13,Reomex,Sprängämnesystem i vilket känsliggöringen sker genom kemisk gasnin. Detta medför att förbättrade detonationsegenskaper erhålls och risken för avbrott och därmed följande dolor minskas. ,Minskar risken för dolor och avbrott,9,9,not forest
6763001,13,,"Ny prospekteringsmetod baserad på tillämpning av geogas. Med hjälp a geogas ka man spåra malmkropar på 350 meters djup. Idén till den nya metoden fick man i slutet av 70-talet i samband med radonmätningar i gruvorna. Man fann att radontransporten genom fast berggrund var snababre än man tidigare trott och skedde genom ett uppåtgående flöde av gasbubblor i grundvattnet, som finns i sprickor i berget. Det var då som tanken aktualiserades, att bubblorna, som vid analys visade sig innehålla i stort sett vanlig luft, rimligen borde ta med sig någon information om bergsammansättningen. ",,9,9,not forest
6819001,13,,Utrustning för avvikelsemätning vid borrning. ,Ger bättre kontroll över borrmomentet.,9,9,not forest
6826001,13,Reflex EX-AQ/EMS,Instrument för borrhållsmätning med nytt mjukvaruprogram. Instrumentet är framförallt avsett för olje- och gruvindustrin.,Fungerar vid 170 grader och under tryck,9,9,not forest
