sinno_id,bioeconomy_vision,year
5880001,Not Bioeconomy,1975
5881001,Bioresource Vision,1975
5883001,Bioresource Vision,1976
5894001,Not Bioeconomy,1974
5897001,Not Bioeconomy,1979
5910001,Not Bioeconomy,1981
5920001,Not Bioeconomy,1983
5928001,Not Bioeconomy,1986
5932001,Not Bioeconomy,1986
5934001,Bioresource Vision,1988
5941001,Not Bioeconomy,1989
5955001,Bioecology Vision,1992
5968001,Not Bioeconomy,1981
5972001,Not Bioeconomy,1992
5987001,Bioecology Vision,1991
5994001,Not Bioeconomy,2004
5999001,Bioresource Vision,2006
5999001,Unsure,2006
6001001,Bioresource Vision,2007
6002001,Not Bioeconomy,1973
6031001,Unsure,1975
6033001,Not Bioeconomy,1975
6041001,Not Bioeconomy,1976
6044001,Not Bioeconomy,1978
6051001,Not Bioeconomy,1976
6060001,Bioresource Vision,1977
6081001,Not Bioeconomy,1978
6099001,Not Bioeconomy,1979
6110001,Unsure,1980
6116001,Not Bioeconomy,1980
6125001,Not Bioeconomy,1981
6130001,Not Bioeconomy,1982
6133001,Not Bioeconomy,1982
6141001,Not Bioeconomy,1982
6156001,Not Bioeconomy,1983
6160001,Not Bioeconomy,1983
6182001,Bioresource Vision,1984
6188001,Not Bioeconomy,1984
6191001,Not Bioeconomy,1985
6203001,Not Bioeconomy,1986
6204001,Not Bioeconomy,1986
6231001,Not Bioeconomy,1990
6249001,Not Bioeconomy,1991
6252001,Bioresource Vision,1991
6290001,Not Bioeconomy,1996
6297001,Not Bioeconomy,1993
6301001,Not Bioeconomy,1997
6302001,Not Bioeconomy,1998
6329001,Not Bioeconomy,2002
6341001,Bioresource Vision,2004
6349001,Not Bioeconomy,2006
6360001,Not Bioeconomy,2006
6387001,Not Bioeconomy,1972
6392001,Not Bioeconomy,1975
6397001,Not Bioeconomy,1976
6400001,Not Bioeconomy,1975
6404001,Not Bioeconomy,1976
6432001,Not Bioeconomy,1983
6544001,Not Bioeconomy,1993
6550001,Not Bioeconomy,1991
6562001,Not Bioeconomy,1991
6583001,Not Bioeconomy,1994
6714001,Not Bioeconomy,1978
6801001,Not Bioeconomy,1997
6814001,Not Bioeconomy,2000
6851001,Not Bioeconomy,2007
6861001,Not Bioeconomy,1971
6873001,Bioecology Vision,1972
6873001,Biotechnology Vision,1972
6878001,Bioecology Vision,1973
6878001,Not Bioeconomy,1973
6880001,Not Bioeconomy,1973
6891001,Biotechnology Vision,1973
6893001,Bioecology Vision,1973
6894001,Not Bioeconomy,1974
6898001,Bioecology Vision,1974
6898001,Not Bioeconomy,1974
6915001,Bioresource Vision,1976
6916001,Bioresource Vision,1976
6918001,Bioresource Vision,1976
6919001,Bioresource Vision,1976
6928001,Bioresource Vision,1975
6929001,Bioresource Vision,1977
6933001,Not Bioeconomy,1979
6938001,Not Bioeconomy,1980
6940001,Bioecology Vision,1978
6940001,Biotechnology Vision,1978
6943001,Bioresource Vision,1980
6945001,Bioresource Vision,1980
6945001,Unsure,1980
6947001,Bioresource Vision,1980
6949001,Bioecology Vision,1981
6949001,Bioresource Vision,1981
6950001,Bioresource Vision,1981
6951001,Bioresource Vision,1980
6954001,Bioresource Vision,1982
6961001,Not Bioeconomy,1982
6969001,Bioecology Vision,1983
6969001,Bioresource Vision,1983
6974001,Not Bioeconomy,1984
6977001,Bioecology Vision,1984
6977001,Not Bioeconomy,1984
7002001,Not Bioeconomy,1986
7024001,Biotechnology Vision,1988
7031001,Bioecology Vision,1987
7040001,Biotechnology Vision,1990
7056001,Bioecology Vision,1991
7056001,Bioresource Vision,1991
7097001,Biotechnology Vision,1999
7134001,Not Bioeconomy,2008
7139001,Not Bioeconomy,2004
7174001,Not Bioeconomy,1970
7218001,Unsure,1979
7242001,Bioresource Vision,1981
7277001,Not Bioeconomy,1985
7318001,Not Bioeconomy,1994
7324001,Bioresource Vision,1994
