Code,Category,sinno_id,innovation_type
107, Recyclability of product                                              ,10349001,107
107, Recyclability of product                                              ,10974001,107
107, Recyclability of product                                              ,11546001,107
107, Recyclability of product                                              ,12322001,107
107, Recyclability of product                                              ,12335001,107
107, Recyclability of product                                              ,12367001,107
107, Recyclability of product                                              ,12424001,107
107, Recyclability of product                                              ,12927001,107
107, Recyclability of product                                              ,13303001,107
107, Recyclability of product                                              ,13780001,107
107, Recyclability of product                                              ,13890001,107
107, Recyclability of product                                              ,14003001,107
107, Recyclability of product                                              ,7031001,107
107, Recyclability of product                                              ,7542001,107
107, Recyclability of product                                              ,8546001,107
107, Recyclability of product                                              ,8876001,107
107, Recyclability of product                                              ,8986001,107
107, Recyclability of product                                              ,9106001,107
107, Recyclability of product                                              ,9508001,107
107, Recyclability of product                                              ,9925001,107
206," Recycle waste, water or materials                                     ",10042001,206
206," Recycle waste, water or materials                                     ",10145001,206
206," Recycle waste, water or materials                                     ",10349001,206
206," Recycle waste, water or materials                                     ",10630001,206
206," Recycle waste, water or materials                                     ",10925001,206
206," Recycle waste, water or materials                                     ",11546001,206
206," Recycle waste, water or materials                                     ",11722001,206
206," Recycle waste, water or materials                                     ",11745001,206
206," Recycle waste, water or materials                                     ",12020001,206
206," Recycle waste, water or materials                                     ",12946001,206
206," Recycle waste, water or materials                                     ",13069001,206
206," Recycle waste, water or materials                                     ",13303001,206
206," Recycle waste, water or materials                                     ",13373001,206
206," Recycle waste, water or materials                                     ",13748001,206
206," Recycle waste, water or materials                                     ",13780001,206
206," Recycle waste, water or materials                                     ",13791001,206
206," Recycle waste, water or materials                                     ",16230001,206
206," Recycle waste, water or materials                                     ",16239001,206
206," Recycle waste, water or materials                                     ",16373001,206
206," Recycle waste, water or materials                                     ",6873001,206
206," Recycle waste, water or materials                                     ",6893001,206
206," Recycle waste, water or materials                                     ",6949001,206
206," Recycle waste, water or materials                                     ",6969001,206
206," Recycle waste, water or materials                                     ",7440001,206
206," Recycle waste, water or materials                                     ",7642001,206
206," Recycle waste, water or materials                                     ",7674001,206
206," Recycle waste, water or materials                                     ",7679001,206
206," Recycle waste, water or materials                                     ",7861001,206
206," Recycle waste, water or materials                                     ",7986001,206
206," Recycle waste, water or materials                                     ",8412001,206
206," Recycle waste, water or materials                                     ",8541001,206
206," Recycle waste, water or materials                                     ",8546001,206
206," Recycle waste, water or materials                                     ",8666001,206
206," Recycle waste, water or materials                                     ",9179001,206
206," Recycle waste, water or materials                                     ",9279001,206
206," Recycle waste, water or materials                                     ",9413001,206
206," Recycle waste, water or materials                                     ",9415001,206
206," Recycle waste, water or materials                                     ",9471001,206
206," Recycle waste, water or materials                                     ",9492001,206
206," Recycle waste, water or materials                                     ",9497001,206
206," Recycle waste, water or materials                                     ",9518001,206
206," Recycle waste, water or materials                                     ",9531001,206
206," Recycle waste, water or materials                                     ",9547001,206
206," Recycle waste, water or materials                                     ",9550001,206
206," Recycle waste, water or materials                                     ",9887001,206
206," Recycle waste, water or materials                                     ",9398001,206
206," Recycle waste, water or materials                                     ",11399001,206
206," Recycle waste, water or materials                                     ",12639001,206
