sinno_id,year,name
6462001,1970,
6475001,1970,ALUH
6853001,1970,LunDia
6856001,1970,
6857001,1970,
6860001,1970,Bricanyl
6980001,1970,Healon
7174001,1970,Complé
7361001,1970,ABC-björnaren
7362001,1970,
7581001,1970,
7586001,1970,
7588001,1970,Autolab
7589001,1970,Merkurimeter
7591001,1970,
7592001,1970,
7593001,1970,Duenero
7594001,1970,Mepa 10 A
7596001,1970,
7598001,1970,V-ring Perf
7599001,1970,
7600001,1970,Compactline
7601001,1970,
7604001,1970,
7605001,1970,Kiruna kilbult
7606001,1970,
7607001,1970,
7609001,1970,
7610001,1970,GL 110
7611001,1970,
7612001,1970,
7613001,1970,
7614001,1970,
7615001,1970,Wallax
7618001,1970,
7619001,1970,
7620001,1970,C DS 319
7621001,1970,Hydrostatiskt lager
7623001,1970,2510/2520
7625001,1970,Dynaform
8158001,1970,
9235001,1970,Mixmaster
9236001,1970,TEHALIT
9237001,1970,
9238001,1970,SYNTEKO TRIPAK
9239001,1970,Casco Pallbox
9240001,1970,
9241001,1970,LINO-SEAL DL
9242001,1970,
9262001,1970,Fabian
9410001,1970,
9411001,1970,
9414001,1970,Bahco-skrubber
9553001,1970,System Asea-Montex
9709001,1970,
9714001,1970,System U
9716001,1970,Kockum KL-121
9721001,1970,MK 691
9722001,1970,Gödjord
9724001,1970,
9727001,1970,Barracudasystemet
9740001,1970,Sonoforce
9817001,1970,Bag in Box
9955001,1970,
9956001,1970,
9958001,1970,
9961001,1970,
9962001,1970,R-kvaliteter
9963001,1970,Kalmar Terminal
9964001,1970,
9965001,1970,
9968001,1970,
9969001,1970,ASEA-STORA-processen
9979001,1970,
10513001,1970,
10514001,1970,Alwex-kåpan
10516001,1970,Pritex -FR
10517001,1970,Övertryckskontroll TK-100
10703001,1970,SBS
6048001,1971,Stressometer
6368001,1971,Studiagnos
6369001,1971,
6370001,1971,
6371001,1971,Alfaskop
6372001,1971,Grafoskop
6373001,1971,ServoVentilator 900
6464001,1971,Läsgaffeln
6685001,1971,
6686001,1971,Rotovertprocessen
6861001,1971,Alvotherm
6865001,1971,Bonovac
6866001,1971,
6870001,1971,
7175001,1971,PELLoFREEZE
7363001,1971,
7364001,1971,
7608001,1971,
7617001,1971,Emproboard-maskinen
7626001,1971,
7629001,1971,YST 8
7630001,1971,
7631001,1971,Soliton
7632001,1971,
7636001,1971,Medinik-sändare
7637001,1971,
7638001,1971,
7640001,1971,
7641001,1971,
7642001,1971,
7643001,1971,
7646001,1971,
7647001,1971,Safelink
7649001,1971,
7650001,1971,
7651001,1971,
7652001,1971,
7653001,1971,
7654001,1971,
7655001,1971,
7656001,1971,
7658001,1971,Multi Fluid
7660001,1971,
7663001,1971,Geodimeter 700
7664001,1971,Bullerdosimeter
7665001,1971,
7667001,1971,
7668001,1971,
7669001,1971,Vibralarm
7674001,1971,Ecal-torken
7764001,1971,
9243001,1971,
9244001,1971,MEKANO
9245001,1971,
9260001,1971,Rigello
9413001,1971,Karlstadplattan
9415001,1971,
9416001,1971,GARTAX
9535001,1971,Fiberlog
9552001,1971,Jetair luftinjektionsssystem
9555001,1971,Poly-Soft
9556001,1971,
9557001,1971,
9558001,1971,
9562001,1971,
9732001,1971,
9733001,1971,
9734001,1971,
9738001,1971,MHU (Material Handling Unit)
9753001,1971,
9970001,1971,Laminja
9971001,1971,
9972001,1971,Plannja Exklusiv
9973001,1971,
9974001,1971,
9976001,1971,
9977001,1971,AJ37 Viggen
9978001,1971,
9980001,1971,MTC-9
9981001,1971,
9982001,1971,Velozon
9995001,1971,Vacuflex
10518001,1971,Sandvik Sandflex
10520001,1971,Exomant
10521001,1971,
5870001,1972,LB 196 P
5871001,1972,
5872001,1972,Multiline'
5874001,1972,"BOOK-O""-MATIC"
6374001,1972,Kappa Batch
6375001,1972,Headhunter
6376001,1972,
6377001,1972,MTA
6378001,1972,S1021
6379001,1972,F1031
6380001,1972,Cyldet
6387001,1972,
6466001,1972,
6467001,1972,MBL 112/MBL 132
6688001,1972,Roller Die
6689001,1972,
6690001,1972,
6787001,1972,Reflex Fotobor DDI
6873001,1972,
6874001,1972,
6875001,1972,
6876001,1972,
7181001,1972,Canflex
7365001,1972,TwX (Timber Wrapping)
7366001,1972,Origa-cylindern
7367001,1972,TETNET
7673001,1972,
7675001,1972,
7677001,1972,Nucon
7678001,1972,
7679001,1972,Float Wash
7680001,1972,Sandvik Bandskimmer
7681001,1972,
7682001,1972,
7683001,1972,Staccato
7685001,1972,
7687001,1972,
7689001,1972,Ericom 30001
7690001,1972,
7691001,1972,FFV 701 Badaren
7692001,1972,Sasek
7693001,1972,Altema Minisix
7694001,1972,
7695001,1972,
7696001,1972,
7699001,1972,Drainer
7700001,1972,
7701001,1972,
7702001,1972,
7703001,1972,Essem Lättflak
7704001,1972,
7705001,1972,
7708001,1972,
7713001,1972,Inter
7718001,1972,Trigger
7771001,1972,
9246001,1972,MIPAC
9247001,1972,PLMs Mjölkdrick
9248001,1972,PLMs Krymptop
9249001,1972,Perawell
9250001,1972,Peranet
9252001,1972,SVD-ljuddämparen
9253001,1972,
9254001,1972,CTT-100 kN
9255001,1972,Wirsbo Pex
9417001,1972,
9419001,1972,
9559001,1972,Nordic Clog
9561001,1972,Erwotex 1001
9564001,1972,Roto-Sieve
9744001,1972,Sandis
9749001,1972,AC Boomer 121
9751001,1972,EWA (Electric Water Alarm)
9752001,1972,Radiovakten
9757001,1972,Hydraulexsystemet
9758001,1972,Lagabsystemet
9759001,1972,Hiab-Focos lastväxlare
9765001,1972,Bilsom Com
9983001,1972,
9984001,1972,
9986001,1972,
9989001,1972,
9990001,1972,MRU
9992001,1972,
9993001,1972,
10522001,1972,LT-Flow Control
10523001,1972,USM-hylsan
10524001,1972,Primosystemet
10525001,1972,
10526001,1972,
10677001,1972,Hub Unit
5873001,1973,Solna 225
5876001,1973,
5877001,1973,
5885001,1973,
5888001,1973,Grapro Sättsystem 2000
6002001,1973,EHC
6003001,1973,CNC-220
6004001,1973,
6005001,1973,Kollafon
6007001,1973,PSU
6008001,1973,System M
6009001,1973,System 6501
6382001,1973,FR 200 FS
6383001,1973,ANA 30
6445001,1973,IRB 6
6471001,1973,TeleContal/Visonik 5000
6691001,1973,No-Knock
6692001,1973,Sandvik 5Ra90
6693001,1973,
6694001,1973,CLU-processen
6775001,1973,Plannjaplåten
6877001,1973,Ion selective electrode
6878001,1973,
6879001,1973,
6880001,1973,AGA Thermovision 750
6881001,1973,
6882001,1973,ASP-stål
6885001,1973,GEWE-Lamellsedimenteringssystem
6886001,1973,INKA-Lamellseparator
6887001,1973,Johnson-Lamellförtjockare
6888001,1973,
6889001,1973,Electrolux Mikroflotationssystem
6891001,1973,Biorotor
6893001,1973,
6902001,1973,Concolor
7184001,1973,Inprometoden
7187001,1973,
7368001,1973,Tvigg
7369001,1973,
7370001,1973,
7372001,1973,
7373001,1973,
7392001,1973,THV-timmervågen
7707001,1973,
7709001,1973,
7710001,1973,Compleo
7712001,1973,
7714001,1973,
7717001,1973,Essve-Klättraren
7719001,1973,Stötpulsmetoden (SPM)
7720001,1973,Rubit
7721001,1973,
7723001,1973,
7724001,1973,
7725001,1973,
7726001,1973,
7728001,1973,
7729001,1973,No Rub
7753001,1973,UTECE
7799001,1973,
7833001,1973,
9258001,1973,
9259001,1973,
9268001,1973,
9297001,1973,
9420001,1973,
9421001,1973,
9422001,1973,
9769001,1973,Conny
9771001,1973,N-serien (N7; N10; N12)
9772001,1973,
9773001,1973,THV-1500; THV 2500
9775001,1973,
10001001,1973,K9
10002001,1973,VAU typ S
10004001,1973,Pilot
10006001,1973,M31 U Viksten
10009001,1973,
10497001,1973,
10527001,1973,OP-lådan
10528001,1973,
10532001,1973,
10533001,1973,FV-29
10704001,1973,System U 81
5878001,1974,
5879001,1974,Multinex Platemaster
5894001,1974,(Guternic) Plockmatic 12
6011001,1974,
6012001,1974,
6013001,1974,Magnadisc
6014001,1974,System 330
6015001,1974,AFS-Systemet
6016001,1974,Color Jet
6017001,1974,SCALE-O-SCOPE
6018001,1974,COAT-A-MATIC
6019001,1974,Holimesy
6020001,1974,
6021001,1974,
6123001,1974,Selspot
6384001,1974,
6385001,1974,
6386001,1974,
6388001,1974,Maritex-systemet
6472001,1974,
6695001,1974,Diamec
6697001,1974,
6894001,1974,Sorbol
6895001,1974,EKA-tainern
6896001,1974,EFP-90
6898001,1974,Gullspångsprocessen
6899001,1974,MAR-processen
6900001,1974,Vålbergsprocessen
6901001,1974,Söderforsprocessen
6903001,1974,
7374001,1974,850
7375001,1974,Tretorn Lumber
7376001,1974,SCA-metod
7377001,1974,Minivib
7378001,1974,KG-spännaren
7379001,1974,Dosol
7380001,1974,ABC-huggaren
7383001,1974,880
7393001,1974,RK 66 Snorre
7731001,1974,
7733001,1974,5R A90
7735001,1974,
7736001,1974,A-30
7737001,1974,
7739001,1974,
7740001,1974,Sonwood
7741001,1974,
7743001,1974,
7745001,1974,
7746001,1974,
7747001,1974,Lindaco 2001
7748001,1974,
7749001,1974,
7750001,1974,OCR-82
7752001,1974,
7804001,1974,
9424001,1974,Albia 100 Stackcleaner
9425001,1974,Markton
9725001,1974,System Sopsug
9785001,1974,
9795001,1974,Merolit
10000001,1974,Optivent
10010001,1974,
10012001,1974,Encepe 10
10013001,1974,
10019001,1974,Swedturn 20
10020001,1974,Ljusbalk
10022001,1974,Seco HX
10023001,1974,PRAUTO B2
10024001,1974,OPR-kortet
10031001,1974,P-71 skäret
10536001,1974,Exilent
10537001,1974,PX
10539001,1974,
5880001,1975,
5881001,1975,Cleanair Cooler
5882001,1975,Nohab-Ampress Lithomatic
6022001,1975,DATAMELT
6025001,1975,LAB
6026001,1975,ALCOTROL Ac 3
6027001,1975,DOSE MONITOR DM 1
6028001,1975,
6030001,1975,Absoflex
6031001,1975,PM 5
6032001,1975,PTC
6033001,1975,PAS-O-MATIC
6034001,1975,
6035001,1975,Respir
6390001,1975,Semigraf
6391001,1975,
6392001,1975,
6393001,1975,
6394001,1975,
6395001,1975,
6400001,1975,
6473001,1975,TVOA
6474001,1975,
6698001,1975,ELI-T
6699001,1975,Garnex
6700001,1975,Reomex
6906001,1975,Ultrolab System
6908001,1975,Formox-processen
6910001,1975,Liladox
6927001,1975,Seloken
6928001,1975,
7384001,1975,ÖSA-systemet
