sinno_id,name,description,info,year,use_sector,bioeconomy_vision,innovation_type,article_checked,notes,
5874001,"BOOK-O""-MATIC",Tryckpress för framställning av färdig bok direkt från pappersrulle. Maskinen består av välkända komponenter som har sammanfogats till ett nytt system.  Istället för att använda ett visst antal ark för att åstadkomma ett visst antal sidor använder maskinen alltid 10 ark i varje bok och varierar istället antalet sidor i arken.,,1972,22222,,,2,article does not mention innovation,
5880001,,Vändståndparti för rullofsetpressar som ökar flexbiliteten i rullofsettpressar. Vändstångspartiet utgör ett tillgg till falsen. Skärtrissor delar pappersbanan i två eller tre banor. Dessa matas in i vändstångspartiet för olika falsningsalternativ.  ,,1975,22222,9,9,1,not forest,
5881001,Cleanair Cooler,"Tork- och kylsystem för rulloffset. Systemet består av två enheter en tork och ett kylvalsställ. I torken torkas de tryck och färgbärande pappersbanorna samtidigt på båda sidor genom att cirkulerande varmluft under extremt hög hastighet blåses på pappersbanorna. I kylvalsstället avkyles pappersbanorna med hjälp av kylvalsar med stora diametrar och en kraftig vattencirkulation. Påblåsningssystemet är utformat på så sätt att pappersbanan inte vidrör eller ksrapar mot några v torkens metalldelar, vilket skulle kunna förorsaka smetning.",,1975,22222,2,211,1,,
5883001,,"Miljövänligt fuktvatten för offsettryckerier baserat på tensider, cellulosaderivat och buffertsalter. ",,1976,22222,2,104,1,,
5886001,Solna C96,Rulloffsetpress med hög tryckkvalitet på bestruket papper. ,,1977,22222,,,2,image too small ,
5894001,(Guternic) Plockmatic 12,"Friktionsmatad plockmaskin som plockar papperet uppåt, varefter en klaff skjuter till och papperet faller ner ur upsamlingsenheten genom sin egen vikt.",,1974,222,9,9,1,not forest,
5897001,DEPAS,"Förinställningssystem för färg- och registerhållning. Systemet består av en snabbläsande aldoscannor, en kedja av mikroprocessorer, en minidator samt elektronik som styr tryckpressarnas färgskruvar och registervalsar. Ett kontrollsystem för pappersrullarna ger information till tryckerifaktorn så att rätt rullstorlek till de olika rullställen och pressarna kan planeras och styras. Transporten av pappersrullar från lager till tryckpressar är integrerad i systemet.",,1979,221,9,9,1,not forest,
5910001,,"IR-värmare för torkning av tryck på olika material såsom papper, plast, glas med mera. Värmaren är en kombination av IRM-enkelrör och reflektorenheter, med utbytbar reflektoryta, vilket gör att energin kan riktas bättre än vad som tidigare varit möjligt.",,1981,22,9,"203,104",1,not forest,
5920001,,Datorhuvar med optimal ljuddämpning och ergonomisk utformning. Huvarna är tillverkade i plåt för att undvika statisk elektricitet och bakstycket är försett med ljuddämpande skydd över pappersutmatningen.,,1983,22,9,9,1,not forest,
5928001,,Kuverteringsmaskin,,1986,21,9,9,1,not forest,
5932001,Aqua Proof,Vattenbaserad provtrycksutrustning där en vattenbaserad färg strykes på ett vitt papper i fyr omgångar - en för varje delfärg. Efter att en delfärg skiktats och härdats kopieras det aktuella skiktet från film i en koiperingsbox. Därefter spolas den icke härdade färgen bort med vatten. ,,1986,22222,9,"101,104,201",1,not forest,
5934001,,Miljövänligt vaxbaserat engångskarbonpapper avsett för OCR-läsning som medger optisk läsning med stor precision,,1988,21230,2,105,1,,
5941001,,"Banrenare som beröringsfritt avlägsnar damm och lösa partiklar från banor som kan vara av papper, kartong, folie, non-woven eller textila material. ",,1989,2221,9,9,1,not forest,
5955001,Tork Offset,Torkmaterial för offsetpressar som innebär stora besparingar av lösningsmedel. Materialet är en blandning av cellulosa och polyester med en helt ny teknik för fiberfindning.  Den nya tekniken har resulterat i ett luddfritt mjukt torkmaterial med extern sugförmåga och god slitstyrka.,,1992,22222,3,201,1,,
5968001,,"Beröringsfri banrenare (i olika format), ett slags dammsugare, som rensar pappersbanan från damm och lösa fibrer strax innan den går in i första tryckverket. I början av utrustningen sitter ett aggregat som avelektrifierar banan, så att den är elektriskt neutral.",,1981,29569,9,9,1,,
5972001,Swedspray (Swedbrush / Swedcool),Fukt- och tvättsystem som reducerar vatten- och färgförbrukningen och optimerar vattenmängden i tryckpressar vilket förbättrar tryckkavliteten och ger papperet stabilitet. Exakt dosering och kontroll av pH-värdet undanröjer problem med korrosion.,,1992,222,9,"202,103",1,not forest,
5987001,STFI-formern,"Formningsmetod vid tillverkning av tryckpapper som ger högre avvattnings-kapacitet och att papperet får bättre formation, ger liksidigare ark och mindre fibersläpp vid tryckning. Genom att använda dubbelvira avvattnas mixen från två håll samtidigt och det är genom en kombination av vals- och bladformning, STFI-formern, som den mest effektiva formningsmetoden åstdkoms.",,1991,29550,3,162,1,,
