sinno_id,bioeconomy_vision
5999001,9
6031001,2
6110001,2
6945001,3
6945001,2
7218001,1
7373001,2
7374001,2
7375001,9
7376001,9
7377001,9
7384001,2
7388001,9
7392001,9
7401001,9
7402001,2
7406001,2
7425001,9
7428001,2
7429001,2
7442001,2
7453001,3
7453001,2
7461001,9
7467001,9
7468001,9
7470001,2
7471001,9
7477001,2
7477001,3
7478001,2
7482001,9
7487001,2
7497001,3
7497001,2
7513001,2
7513001,3
7515001,2
7614001,2
7827001,2
8422001,2
9398001,3
9398001,1
9535001,3
9539001,2
9539001,3
10882001,2
10928001,2
10928001,3
11016001,2
11399001,1
11399001,2
12639001,3
12639001,1
12639001,2
13013001,2
16067001,2
