sinno_id,notes
6945001,"""Mellan 50 och 70 procent av värmebehovet i en cy-
lindertorkmaskin kan täckas av atervunnen se-
kundäranga fràn termo-massaraffinörerna."" 5950-00-00"
7218001,"""Vid Billerud AB har man utvecklat en dekarboxyleringsmetod för
analys av
uronsyrahalten i skogsprodukter"" 6223-00-00"
7384001,"""För att klara skogsbrukets krav pa helmekanisering har ett nytt maskin-program - OSA-systemet utvecklats."" 6389-00-00"
7453001,"""gallring. Konventionel-la metoder med stora skotare ger ofta skador pa ungskog och kvarvarande skog varför en skonsam-
mare metod, som samtidigt är lämplig för självverk-
samhet, har efterfragats. Samma problemställning gäller uttag av röjningsavfall i tät skog. Gallrings-
skotaren har därför utvecklats mot bakgrund av de
problem som finns vid transport av virke i gallrings-skog."" 6458-00-00"
7477001,"""Den koncentrerar olika tgärder och
den försöker uppna full sysselsättning
för egen personal och egna maskiner, och minimera eller undvika skador pa virke och vaxande skog."" 6482-01"
7478001,"""Avsevärt minskade virkesförluster
för skogsbolagen, svarar Jan Almén,
produktutvecklare hos Tireco i Boll-näs. Processorägarna far ocksa mycket lägre avdrag för virkesskadorna och
färre kortare stillestand därför att ma-tarhjulet häller mycket"" 6483-00"
7497001,"""Tack vare boggie fár alla hju-len samma marktryck. Detta, tillsammans med breda gummi-hjul, minimerar markskadorna."" 6502-00-00"
7513001,"""Eftersom fraktpriserna för sagtimmer
ökar, särskilt i inlandet, blir det än mer viktigt att ravaran kan förädlas där den finns innan den gar vidare ut i landet."" 6518-00-00"
7515001,"""Opartiska tester har visat att skador vid verktygens uppklättring har minskat
med 75 procent jämfört med tidigare barkverktyg. De är hällarens dynamik
och utformning som ger den lätta upp-klättringen pa stocken och därmed de minskade vedskadorna. Men inte bara
det, genom att hallarens uppklättringskant sitter pa den nedre delen frigörs en bredare yta som avleder barken mot matningsrikt-ningen.
Detta innnebär att tidi-
gare problem med pack-ning av bark i maskinens rotor minskas. Ökad mat-ningshastighet kan stads-kommas genom att Cam Tool-konceptet är lättare
än tidigare barkverktyg.
Därmed kan rotorns vartal ökas utan att cen-
trifugalkrafterna blir för
stora."" 6520-00-00"
7614001,"""Ett nytt träbearbtningsverktyg, som avsevärt höjer traöbearbetningsmaskinernas kapcitet"" 11342-00-00"
7827001,"""Genom att anända vinschskotare
kan de sk stickvägarna in i skogen läggas längre frán varandra.
trad
De
som skall gallras bort falls vinkelrätt mot stickvägen, med rot-
ändan mot vägen. Manskapet faster sedan vajrarna runt träden. och vinschar in dem."" 6832-00-00"
8422001,"""Varje stock är värd pengar. Mycket pengar. Det gäller att sägverket kan fä ut sà mycket virke som möjligt ur var-je stock. En svenskutvecklad matram kan nu minska spillet i sägverken."" 7427-00-00"
9398001,"""MINIRENINGSVERK BYGGER PA liknande pro-
cesser som anänds i kommunala re-ningsverk. Sedimentering anänds för att avskilja partiklar frân avloppsvattnet,
biologisk rening för att ta bort organiskt material och kväve samt kemikalier för utfällning av fosfor och smapartiklar.
Därefter är det fritt fram att släppa ut det renade vattnet i sjöar och vattendrag.
Ikategorin minireningsverk är Bio Trap 2
det enda som anänder biofilmsteknik i det biologiska reningssteget."" 8403-00-00"
9539001,"""Det ökade miljömedvetandet
i industrin
har bidragit till
intresser för den här typen av investeringar i anläggningarna. vilket har gynnat Cerlics expan-sion,
Par-Hakan
Bergström."" 10322-00-00"
10928001,"""e nya golven bestar av en blandning av träfiber och sorterad
avfallsplast. Materialen blandas
och profileras til golv ien kontinu-
erlig extruderingsprocess."" 14050-00-00"
11399001,"""ortus har utvecklat en pro- cess i tre steg för torkning, pyrolys och förgasning av biomassa."" 12476-00-00"
