sinno_id,name,firm,description,year,use_sector
10019001,Swedturn 20,SMT Machine Company AB ; SMT Machine Company ; 9021002,"Svarv. Numeriskt styrd chuckautomat (styrd av SMT:s CNC 220). Vad som först och främst skiljer från andra svarvar är spindeldockans placering på en slid, som löper vinkelrätt mot spindlens centrumlinje. Spindeldockan utför således maskinens x-rörelse, medan verktygssliden endast svarar för z-rörelsen. Tanken bakom denna maskin är först och främst att göra byte av arbetsstycke så lätt som möjligt.  I styrsystemet ingår fasta cykler för gänging samt längd- och planskär. ",1974,36
10025001,Certus-stolen,N.K.R. Miljö AB ; N.K.R. Miljö ; 9027002,"Arbetsstol av ny konstruktion med utgånspunkt från anatomiska och arbetsfysiologiska krav. Det som främst skiljer den från andra typer är de många inställnignsmöjligheterna. Inte endast sitthöjd utan också sitsdjup, lutningsvinkeln på ryggstödet, höjden på armstöden och vidde mellan dessa kan man ställa in.",1975,-100
10025001,Certus-stolen,N.K.R. Miljö AB ; N.K.R. Miljö ; 9027002,"Arbetsstol av ny konstruktion med utgånspunkt från anatomiska och arbetsfysiologiska krav. Det som främst skiljer den från andra typer är de många inställnignsmöjligheterna. Inte endast sitthöjd utan också sitsdjup, lutningsvinkeln på ryggstödet, höjden på armstöden och vidde mellan dessa kan man ställa in.",1975,351
10030001,Inovatavlan,Inovapapper AB ; Inovapapper ; 10257002,"Flerfunktionstavla som tillverkas av ett magnetiserat gummimaterial och fungerar som krittavla, magenttavla, blädderblock, flanellograf och filmduk soamt fästplatta för inovapapper. ",1975,-100
10042001,,AB Svenska Fläktfabriken ; Svenska Fläktfabriken ; 9949002,"Anläggning för maskinell separering med luftbehandlingsteknik. Den maskinella separeringen innebär att bland annat metaller, papper och plast återvinns ur hushållsavfallet på ett effektivt och ekonomiskt sätt. Anläggningen kan reducera avfallsvolymen med åttio till nittio procent.An air pressure based recycling system for mechanical separation of valuable materials from houshold waste. ",1976,-100
10052001,MBM/MAM,Asea ; Asea ; 9755002,"Helkapslade växelströmsmotorer utformade för drift i svår miljö med unik konstruktion. Den patenterade statorstommmen är tillverkad av profilerad stålplåt i vilken plåtpaketet är fastsvetsat, vilket ger en robust konstruktion och eliminerar kostnadskrävande operationer såsom gjutning och spånskärande bearbetning. ",1976,-100
10123001,Secodex-P,Seco Tools AB ; Seco Tools ; 9665002,Verktygssystem. ,1978,36
10124001,T-Max Universal,Sandvik AB ; Sandvik ; 9912002,"Alternativ till spiralborren, för användning vid korta hål, upp till cirka två gånger diametern. Den nya borren uppges i fråga om håltoleranser vara fullt jämförbar med spiralborren -något bättre vid stora håldiametrar men något sämre än spiralborrar vid mindre. Den väsentliga fördelen med korthålsborren är emellertid att den har mellan fem och tio gånger så stor avverkningsförmåga som spiralborren. ",1978,36
10128001,,F E Lindström AB ; F E Lindström ; 9130002,"Tång för elektronik-, tele- och finmekanisk industri. Tången sägs ha hittills oöverträffad klippförmåga över ett brett omårde av tråddimensioner och kvaliteter. ",1978,31
10128001,,F E Lindström AB ; F E Lindström ; 9130002,"Tång för elektronik-, tele- och finmekanisk industri. Tången sägs ha hittills oöverträffad klippförmåga över ett brett omårde av tråddimensioner och kvaliteter. ",1978,32
